process_corner,supply_v,temperature_c,gain_100mhz_db,gain_1p25ghz_db,gain_2p5ghz_db,gain_5ghz_db,peak_gain_db,peak_frequency_hz,peaking_db,boost_2p5ghz_db,response_class,runtime_s
tt,1.71,0.0,7.229057702787437,10.333987320978332,10.824930163986313,9.171842227005426,10.877596922569312,2141892389.924427,3.648539219781875,3.5958724611988755,local_peak,0.31456229998730123
tt,1.71,27.0,7.056390995809407,10.0957240694585,10.527844617691043,8.807346314817044,10.595505622632746,2093125422.111103,3.5391146268233395,3.4714536218816363,local_peak,0.29975919995922595
tt,1.71,125.0,6.547530773319356,9.398716731194018,9.664487756696508,7.755090756309012,9.784390270279225,1998897209.887066,3.2368594969598687,3.1169569833771513,local_peak,0.29849560000002384
tt,1.8,0.0,7.361824345445214,10.511449283320728,11.015934122376532,9.33996669779009,11.068667097052776,2141892389.924427,3.706842751607562,3.6541097769313176,local_peak,0.27732240001205355
tt,1.8,27.0,7.197432943131496,10.283361222667747,10.728289972482559,8.982442084903882,10.79626914262282,2093125422.111103,3.598836199491325,3.530857029351063,local_peak,0.2780209999764338
tt,1.8,125.0,6.722097998798547,9.627823340966017,9.903439376743208,7.957801883055186,10.025385754217393,1998897209.887066,3.303287755418846,3.181341377944661,local_peak,0.28003279998665676
tt,1.89,0.0,7.4747720063349865,10.662590228079587,11.17979920641231,9.486634617337039,11.232225654314782,2141892389.924427,3.757453647979795,3.705027200077324,local_peak,0.28010710002854466
tt,1.89,27.0,7.315397154769286,10.440532878883209,10.897501474667266,9.132904080053812,10.965296398440024,2093125422.111103,3.6498992436707383,3.5821043198979794,local_peak,0.2827953000087291
tt,1.89,125.0,6.859211578789643,9.808329061829488,10.093408519008348,8.122241384464422,10.216268429183854,1998897209.887066,3.357056850394211,3.2341969402187045,local_peak,0.2905363999889232
ss,1.71,0.0,7.348063666122226,10.515987793552357,10.900765065799552,8.913448028049716,11.004569813705265,2045468788.860288,3.6565061475830394,3.5527013996773267,local_peak,0.3109106000047177
ss,1.71,27.0,7.148572049889998,10.235832579426864,10.551435623959048,8.498870020615037,10.677351488627796,1998897209.887066,3.528779438737798,3.40286357406905,local_peak,0.30472610000288114
ss,1.71,125.0,6.556825045985762,9.413555390512956,9.541242716360287,7.318371001709946,9.737606152736348,1865448551.23897,3.180781106750586,2.9844176703745253,local_peak,0.2861202000058256
ss,1.8,0.0,7.451521910918014,10.657199926347117,11.052964742634629,9.046365358922653,11.156789996677716,2045468788.860288,3.705268085759702,3.6014428317166143,local_peak,0.29015320003964007
ss,1.8,27.0,7.260340350267017,10.387338544345843,10.713079161721394,8.63867092694965,10.839382070321289,1998897209.887066,3.5790417200542715,3.4527388114543767,local_peak,0.2862787999911234
ss,1.8,125.0,6.704565602809183,9.609864952655645,9.744759666138455,7.4894412156213175,9.94340533640907,1865448551.23897,3.238839733599887,3.040194063329272,local_peak,0.2843117999727838
ss,1.89,0.0,7.536109542193799,10.772771427009559,11.178699374132707,9.158543875721701,11.282073434921047,2045468788.860288,3.7459638927272483,3.642589831938908,local_peak,0.29196340002818033
ss,1.89,27.0,7.350489818560338,10.509742993129345,10.844993849508482,8.755378367455828,10.971036294057317,1998897209.887066,3.6205464754969787,3.4945040309481437,local_peak,0.2755318999988958
ss,1.89,125.0,6.818281058372645,9.761598622928847,9.903982093003593,7.626824582504337,10.103383370393441,1865448551.23897,3.285102312020796,3.085701034630948,local_peak,0.28104490000987425
ff,1.71,0.0,6.931540537029389,9.90274106248368,10.474468942031548,9.22107565843215,10.490225051622012,2295117021.187582,3.558684514592623,3.5429284050021588,local_peak,0.281171299982816
ff,1.71,27.0,6.795239890722232,9.71929492190707,10.246143493532026,8.927406328628667,10.269577378267376,2242861409.081871,3.474337487545145,3.4509036028097944,local_peak,0.28637719998368993
ff,1.71,125.0,6.350651927999045,9.123817618963173,9.507094624011138,7.981798689290616,9.564463851911576,2093125422.111103,3.213811923912531,3.1564426960120935,local_peak,0.2793834999902174
ff,1.8,0.0,7.134262742909893,10.167776845847651,10.760182011378278,9.47969272137948,10.775808280348837,2295117021.187582,3.641545537438944,3.625919268468385,local_peak,0.289664099982474
ff,1.8,27.0,7.000551314714384,9.986770158329008,10.53268058631657,9.184337199275317,10.556158401408425,2242861409.081871,3.5556070866940406,3.5321292716021855,local_peak,0.3373797999811359
ff,1.8,125.0,6.566256950783966,9.40142293654855,9.797422896584777,8.23152788676811,9.856439517670722,2093125422.111103,3.290182566886756,3.231165945800811,local_peak,0.28850429999874905
ff,1.89,0.0,7.317562179700519,10.40843192579903,11.02149833274699,9.719306481410877,11.036727010822734,2295117021.187582,3.7191648311222147,3.703936153046471,local_peak,0.2877501000184566
ff,1.89,27.0,7.182663993975204,10.224974702392513,10.789657717368497,9.41773099614828,10.812838700923319,2242861409.081871,3.6301747069481145,3.606993723393293,local_peak,0.2890297000412829
ff,1.89,125.0,6.743188963784459,9.629942541717126,10.037807713636042,8.440692450803654,10.09777099381832,2093125422.111103,3.3545820300338614,3.2946187498515824,local_peak,0.29054730001371354
